dox,aba,rep1_Y,rep1_R,rep2_Y,rep2_R,rep3_Y,rep3_R,avgR,avgY
0,0,0.055321099,0.054762632,0.072509761,0,0.062209019,0,0.018254211,0.063346626
0,1,0.358660227,0.046098839,0.374167131,0,0.299389337,0.009706624,0.018601821,0.344072232
0,3,0.789072564,0.069602276,0.593378072,0,0.766040836,0.008051238,0.025884505,0.716163824
0,5,0.757656856,0.130954838,0.886446379,0.020668278,0.763039586,0.141159067,0.097594061,0.80238094
0,10,0.747631779,0.160256967,0.842175284,0.094415789,0.684647679,0.265261061,0.173311272,0.758151581
0,50,0.745762253,0.142875787,0.840411742,0.136579977,0.868508028,0.098832693,0.126096152,0.818227341
0,75,0.696220191,0.20840328,0.699154934,0.111845969,0.724642586,0.225689793,0.181979681,0.70667257
0,150,0.651311253,0.158318684,0.527308225,0.462482395,0.681496287,0.263137952,0.294646344,0.620038588
10,0,0.043344145,0.04288476,0.172759583,0.022592469,0.135606253,0.005959054,0.023812094,0.11723666
10,1,0.21602312,0.078700888,0.280001527,0.011802762,0.299831946,0,0.030167883,0.265285531
10,3,0.636635243,0.219492085,0.528498765,0.442498234,0.765964191,0.068679012,0.243556444,0.6436994
10,5,0.634102185,0.185575495,0.637911362,0.340587187,0.649976859,0.260848213,0.262336965,0.640663469
10,10,0.598523974,0.319098082,0.602694954,0.361860306,0.830851931,0.133764179,0.271574189,0.677356953
10,50,0.658138675,0.242004939,0.743696973,0.248562262,0.887993492,0.096876499,0.195814567,0.76327638
10,75,0.644622966,0.260226074,0.645652722,0.339282303,0.677428772,0.295154802,0.29822106,0.655901487
10,150,0.694131524,0.170877219,0.638864541,0.314181308,0.627721974,0.335795905,0.273618144,0.65357268
50,0,0.056280893,0.229080951,0.071535427,0.316873178,0.14742127,0.442867973,0.329607367,0.091745863
50,1,0.105463217,0.508685396,0.239273718,0.413762287,0.122696909,0.55853305,0.493660244,0.155811281
50,3,0.410747776,0.456408184,0.42694334,0.47609703,0.482155707,0.392955478,0.441820231,0.439948941
50,5,0.421237299,0.473803895,0.620353014,0.344128291,0.558771818,0.387455429,0.401795872,0.533454044
50,10,0.48769081,0.434937137,0.56443656,0.43556344,0.502325932,0.486984239,0.452494939,0.518151101
50,50,0.613460896,0.283984673,0.458450471,0.541549529,0.654943068,0.329901109,0.385145104,0.575618145
50,75,0.595731685,0.301670365,0.65980122,0.334091738,0.63548317,0.32332023,0.319694111,0.630338692
50,150,0.54443976,0.337718203,0.585698868,0.345948973,0.577266129,0.382025779,0.355230985,0.569134919
50,0,0.041941622,0.547407532,0.06173967,0.506393323,0.201221935,0.410521484,0.488107446,0.101634409
100,1,0.102608271,0.469678737,0.069575111,0.727598151,0.23495841,0.523980019,0.573752302,0.135713931
100,3,0.325585854,0.489579548,0.756626026,0.147339445,0.397971365,0.534768848,0.390562614,0.493394415
100,5,0.392973162,0.48159921,0.489021285,0.498754582,0.681407965,0.264118678,0.414824157,0.521134137
100,10,0.481657526,0.422952022,0.490207031,0.458860375,0.548165258,0.445719222,0.44251054,0.506676605
100,50,0.450578282,0.439865516,0.633864302,0.366134329,0.563259377,0.424359738,0.410119861,0.549233987
100,75,0.427874378,0.429248695,0.443932818,0.542495968,0.51198892,0.483817827,0.485187497,0.461265372
100,150,0.441422262,0.39707524,0.640442322,0.359557678,0.593588572,0.337364136,0.364665685,0.558484385
250,0,0.048217049,0.666194384,0.100741891,0.58445029,0.166721962,0.579334879,0.609993184,0.105226967
250,1,0.074670269,0.679286381,0.071490523,0.816824399,0.209047022,0.574898572,0.690336451,0.118402605
250,3,0.250450872,0.585319001,0.322944013,0.641096217,0.364427449,0.577323864,0.601246361,0.312607445
250,5,0.286468503,0.567748473,0.50885828,0.467412281,0.509187778,0.45231016,0.495823638,0.434838187
250,10,0.376440551,0.516889022,0.712496154,0.27390973,0.598165437,0.27098923,0.353929327,0.562367381
250,50,0.476608229,0.380056445,0.50817015,0.487818538,0.791914864,0.149274075,0.339049686,0.592231081
250,75,0.418996245,0.409088849,0.433466171,0.512399091,0.552997615,0.389551552,0.437013164,0.468486677
250,150,0.455527164,0.353592514,0.568994666,0.389893236,0.573548149,0.368020376,0.370502042,0.532689993
500,0,0.051005015,0.719694045,0.076650999,0.733147667,0.22099202,0.504183485,0.652341732,0.116216011
500,1,0.078575552,0.685759079,0.067425436,0.825962754,0.175707188,0.694340159,0.735353997,0.107236059
500,3,0.201214043,0.6261401,0.141648296,0.741004444,0.359547055,0.583218593,0.650121046,0.234136465
500,5,0.283087663,0.589046749,0.424297469,0.539784859,0.431772418,0.520120757,0.549650788,0.379719183
500,10,0.371343335,0.478702074,0.510311611,0.477382817,0.569336847,0.401969891,0.452684927,0.483663931
500,50,0.396539236,0.443508032,0.555619607,0.419140255,0.5351219,0.414682218,0.425776835,0.495760248
500,75,0.464185595,0.3912789,0.508660129,0.43943844,0.46787701,0.504908047,0.445208462,0.480240911
500,150,0.423644462,0.373794529,0.375043842,0.573925682,0.651859055,0.3129862,0.42023547,0.483515786
1000,0,0.046530885,0.736256934,0.07139933,0.787987745,0.007719268,0.815871744,0.780038808,0.041883161
1000,1,0.058400558,0.729975166,0.023731474,0.79133531,0.063336185,0.841936974,0.78774915,0.048489406
1000,3,0.168602759,0.680044242,0.338355111,0.608926591,0.351422894,0.553554701,0.614175178,0.286126921
1000,5,0.402909314,0.412605921,0.36149655,0.529363451,0.471645141,0.358584943,0.433518105,0.412017002
1000,10,0.352373457,0.441148377,0.522646613,0.402428769,0.433353223,0.500151746,0.447909631,0.436124431
1000,50,0.411616472,0.40298778,0.476560008,0.518787726,0.497849833,0.439771363,0.453848956,0.462008771
1000,75,0.346115326,0.434803259,0.517567513,0.397097345,0.41151661,0.42012079,0.417340465,0.425066483
1000,150,0.475561685,0.20554485,0.376928273,0.54026347,0.374259784,0.51338848,0.419732267,0.408916581
2000,0,0.063175428,0.683924624,0.007885465,0.809876603,0.020548535,0.647591198,0.713797475,0.030536476
2000,1,0.07143635,0.669398243,0.060002252,0.746898929,0.044370314,0.739913243,0.718736805,0.058602972
2000,3,0.145297762,0.531186231,0.140425032,0.725156715,0.267978291,0.582179462,0.612840803,0.184567028
2000,5,0.296429389,0.469258615,0.236491093,0.562524851,0.193550876,0.618600442,0.550127969,0.242157119
2000,10,0.322863267,0.454601581,0.238865477,0.455394017,0.378542369,0.424391978,0.444795859,0.313423704
2000,50,0.339132545,0.382196255,0.320277832,0.540864224,0.371966461,0.443886642,0.45564904,0.343792279
2000,75,0.330896136,0.316343277,0.297619245,0.454867877,0.302992774,0.418003317,0.396404824,0.310502718
2000,150,0.322373509,0.382868324,0.329645906,0.330699589,0.35966055,0.271986204,0.328518039,0.337226655
